SDG Region,Country or Territory Name,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b]
Central Asia and Southern Asia ,Afghanistan,17.94502587,82.05341295
Central Asia and Southern Asia ,Afghanistan,12.13354279,62.46434304
Central Asia and Southern Asia ,Afghanistan,17.19664185,55.55715315
Central Asia and Southern Asia ,Afghanistan,15.65237729,59.00959287
Central Asia and Southern Asia ,Afghanistan,19.89579915,13.04331781
Central Asia and Southern Asia ,Afghanistan,,45.93892891
Central Asia and Southern Asia ,Afghanistan,11.33561615,75.16806775
Central Asia and Southern Asia ,Afghanistan,13.57448576,70.46493276
Central Asia and Southern Asia ,Afghanistan,15.31131958,65.58849552
Central Asia and Southern Asia ,Afghanistan,9.620737,56.14663249
Northern America and Europe ,Albania,12.43451411,37.87783383
Northern America and Europe ,Albania,10.55809592,47.0960312
Western Asia and Northern Africa ,Algeria,14.79843978,49.59455418
Western Asia and Northern Africa ,Algeria,20.19384302,42.03592882
Western Asia and Northern Africa ,Algeria,13.54007083,43.25542889
Western Asia and Northern Africa ,Algeria,15.44625286,54.00889123
Western Asia and Northern Africa ,Algeria,18.15902849,62.74529474
Western Asia and Northern Africa ,Algeria,14.88986073,41.23466883
Western Asia and Northern Africa ,Algeria,17.60755362,70.55116428
Western Asia and Northern Africa ,Algeria,27.84832751,67.46434806
Western Asia and Northern Africa ,Algeria,12.66405962,74.5111796
Western Asia and Northern Africa ,Algeria,13.73660769,81.60063391
Western Asia and Northern Africa ,Algeria,17.89080263,64.49275527
Western Asia and Northern Africa ,Algeria,19.60038731,65.33195457
Western Asia and Northern Africa ,Algeria,16.95427195,33.56049107
Western Asia and Northern Africa ,Algeria,15.2116504,44.40563508
Western Asia and Northern Africa ,Algeria,20.85351031,67.62032484
Western Asia and Northern Africa ,Algeria,19.85646388,34.85624467
Western Asia and Northern Africa ,Algeria,13.56651819,32.05231728
Western Asia and Northern Africa ,Algeria,17.56536394,81.43853306
Western Asia and Northern Africa ,Algeria,20.68082744,56.54086094
Sub-Saharan Africa ,Angola,15.60915222,32.81214052
Sub-Saharan Africa ,Angola,,21.10200966
Sub-Saharan Africa ,Angola,16.10366975,14.04509715
Sub-Saharan Africa ,Angola,19.3490594,17.31168792
Sub-Saharan Africa ,Angola,13.03017578,26.98966887
Sub-Saharan Africa ,Angola,13.18618319,22.86286978
Sub-Saharan Africa ,Angola,9.895670116,9.499601343
Sub-Saharan Africa ,Angola,12.58771574,3.76453735
Sub-Saharan Africa ,Angola,10.16721801,29.35238573
Sub-Saharan Africa ,Angola,14.09950805,16.9446455
Latin America and the Caribbean ,Antigua and Barbuda,13.41234631,44.96271563
Latin America and the Caribbean ,Argentina,19.13738818,76.00564088
Latin America and the Caribbean ,Argentina,16.2958382,49.54724227
Latin America and the Caribbean ,Argentina,14.63918502,82.87978024
Latin America and the Caribbean ,Argentina,18.54068837,73.66528655
Latin America and the Caribbean ,Argentina,21.81466901,61.68357134
Latin America and the Caribbean ,Argentina,13.51351877,67.50060831
Latin America and the Caribbean ,Argentina,16.04827449,72.02680499
Latin America and the Caribbean ,Argentina,16.72827596,79.73303743
Latin America and the Caribbean ,Argentina,18.55890138,55.31268249
Latin America and the Caribbean ,Argentina,19.52913172,74.8235928
Latin America and the Caribbean ,Argentina,23.92108788,91.06850345
Latin America and the Caribbean ,Argentina,15.72643783,80.29634735
Latin America and the Caribbean ,Argentina,17.90673042,48.70403544
Latin America and the Caribbean ,Argentina,21.44802529,77.14720267
Latin America and the Caribbean ,Argentina,25.67634272,84.40581478
Latin America and the Caribbean ,Argentina,22.80558263,52.84298687
Latin America and the Caribbean ,Argentina,17.28296686,65.43954514
Latin America and the Caribbean ,Argentina,17.45215111,59.14800291
Latin America and the Caribbean ,Argentina,17.19439029,64.05629604
